,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Trend_lag_1,Trend_lag_2,Trend_lag_24,Trend_lag_168,Trend_lag_336,Trend_lag_504,Trend_lag_672,Pred,Actual
5120,0,0,19,11,2023,4,52.8082712988868,52.84081206578431,50.5767734053542,53.8683417456191,53.41054306196873,59.25051454955356,62.022579046085646,48.0,52.79002478495464
5121,0,0,20,11,2023,4,52.79002478495464,52.8082712988868,50.69205353075929,53.40290764769482,52.68174237022441,58.52147970764795,61.41744787445071,47.0,52.77904715951295
5122,0,0,21,11,2023,4,52.77904715951295,52.79002478495464,50.81579561296152,52.9131524107023,51.92818223410975,57.691715933870825,60.69499028134612,46.0,52.78264925666506
5123,0,0,22,11,2023,4,52.78264925666506,52.77904715951295,50.94887299912498,52.44286402867164,51.190968529068506,56.79064576974879,59.89446373642318,46.0,52.803085158817446
5124,0,0,23,11,2023,4,52.803085158817446,52.78264925666506,51.0932993485204,52.03754434638108,50.52083434888648,55.86378969455944,59.06431871246631,45.0,52.81898978696939
5125,0,0,24,11,2023,4,52.81898978696939,52.803085158817446,51.25188643375701,51.74461436790538,49.952792854558766,54.95571793727805,58.23398076869525,45.0,52.80753362000882
5126,0,0,1,11,2023,5,52.80753362000882,52.81898978696939,51.41904886232022,51.60209685963497,49.493066646428,54.1041372252815,57.41299412060504,50.0,52.767570915906894
5127,0,0,2,11,2023,5,52.767570915906894,52.80753362000882,51.58686624030619,51.64760496592869,49.15959178437527,53.3231458077225,56.613023278695024,50.0,52.67653590923582
5128,0,0,3,11,2023,5,52.67653590923582,52.767570915906894,51.74316845562683,51.89259700144596,48.96556502959514,52.593262912324114,55.834563799426455,49.0,52.51416313460445
5129,0,0,4,11,2023,5,52.51416313460445,52.67653590923582,51.90111082924368,52.330862498962645,48.92375427765911,51.90282629361449,55.07695617689805,49.0,52.294931573813145
5130,0,0,5,11,2023,5,52.294931573813145,52.51416313460445,52.07833097598425,52.94699085239551,49.03200054026895,51.2515956057392,54.36406541256821,49.0,52.04639270739192
5131,0,0,6,11,2023,5,52.04639270739192,52.294931573813145,52.27116780908997,53.72621293887045,49.274704561295984,50.65392376494165,53.72612076241048,49.0,51.79129904558438
5132,0,0,7,11,2023,5,51.79129904558438,52.04639270739192,52.46268441280663,54.63165208032184,49.624818688748206,50.13361713713574,53.1821454564468,49.0,51.55251560645768
5133,0,0,8,11,2023,5,51.55251560645768,51.79129904558438,52.63913830708202,55.60569670633984,50.04722840617389,49.70482382460761,52.73787639274294,49.0,51.34532937622287
5134,0,0,9,11,2023,5,51.34532937622287,51.55251560645768,52.78840924628642,56.5787389956065,50.495592605962855,49.36488392028219,52.3866311048022,49.0,51.175886467750566
5135,0,0,10,11,2023,5,51.175886467750566,51.34532937622287,52.90214364141543,57.48986305508581,50.934709692792296,49.10057912745685,52.11181934208262,49.0,51.04625782893368
5136,0,0,11,11,2023,5,51.04625782893368,51.175886467750566,52.97977993758674,58.2944739528956,51.328974362433854,48.90547891099525,51.896694987878526,49.0,50.95454690898297
